element;layer;level;color;siteid;alias
PTT-Aracaju;PTT;10;;PTTARACAJU;
PTT-Belem;PTT;10;;PTTBELEM;
PTT-Belo Horiz;PTT;10;;PTTBELOHORIZO;
PTT-Brasilia;PTT;10;;PTTBRASILIA;
PTT-Campinas;PTT;10;;PTTCAMPINAS;
PTT-Campo Gran;PTT;10;;PTTCAMPOGRAND;
PTT-Cuiaba;PTT;10;;PTTCUIABA;
PTT-Curitiba;PTT;10;;PTTCURITIBA;
PTT-Florianopo;PTT;10;;PTTFLORIANOPO;
PTT-Fortaleza;PTT;10;;PTTFORTALEZA;
PTT-Goiania;PTT;10;;PTTGOIANIA;
PTT-Joao Pesso;PTT;10;;PTTJOAOPESSOA;
PTT-Maceio;PTT;10;;PTTMACEIO;
PTT-Manaus;PTT;10;;PTTMANAUS;
PTT-Natal;PTT;10;;PTTNATAL;
PTT-Porto Aleg;PTT;10;;PTTPORTOALEGR;
PTT-Recife;PTT;10;;PTTRECIFE;
PTT-Rio de Jan;PTT;10;;PTTRIODEJANEI;
PTT-Salvador;PTT;10;;PTTSALVADOR;
PTT-Sao Luis;PTT;10;;PTTSAOLUIS;
PTT-Sao Paulo;PTT;10;;PTTSAOPAULO;
PTT-Teresina;PTT;10;;PTTTERESINA;
PTT-Vitoria;PTT;10;;PTTVITORIA;
RTIC-MAN01-01;INNER-CORE;1;;AMMANAUS0IC001;
RTIC-BEL02-01;INNER-CORE;1;;PABELEM0IC001;
RTIC-FOR03-01;INNER-CORE;1;;CEFORTALEZA0IC001;
RTIC-REC04-01;INNER-CORE;1;;PERECIFE0IC001;
RTIC-SAL05-01;INNER-CORE;1;;BASALVADOR0IC001;
RTIC-BRA06-01;INNER-CORE;1;;DFBRASILIA0IC001;
RTIC-CUI07-01;INNER-CORE;1;;MTCUIABA0IC001;
RTIC-SAO08-01;INNER-CORE;1;;SPSAOPAULO0IC001;
RTIC-RIO09-01;INNER-CORE;1;;RJRIODEJANEI0IC001;
RTIC-VIT10-01;INNER-CORE;1;;ESVITORIA0IC001;
RTIC-BEL11-01;INNER-CORE;1;;MGBELOHORIZO0IC001;
RTIC-VIT12-01;INNER-CORE;1;;ESVITORIA0IC002;
RTIC-CUR13-01;INNER-CORE;1;;PRCURITIBA0IC001;
RTIC-POR14-01;INNER-CORE;1;;RSPORTOALEGR0IC001;
RTRR-Norte01-01;REFLECTOR;3;;AMMANAUS0RR001;
RTRR-Norte02-01;REFLECTOR;3;;PABELEM0RR001;
RTRR-Norde03-01;REFLECTOR;3;;CEFORTALEZA0RR001;
RTRR-Norde04-01;REFLECTOR;3;;RNNATAL0RR001;
RTRR-Norde05-01;REFLECTOR;3;;ALMACEIO0RR001;
RTRR-Centr06-01;REFLECTOR;3;;DFBRASILIA0RR001;
RTRR-Centr07-01;REFLECTOR;3;;MTCUIABA0RR001;
RTRR-Sudes08-01;REFLECTOR;3;;SPSAOPAULO0RR001;
RTRR-Sudes09-01;REFLECTOR;3;;RJRIODEJANEI0RR001;
RTRR-Sudes10-01;REFLECTOR;3;;MGBELOHORIZO0RR001;
RTRR-Campi11-01;REFLECTOR;3;;SPCAMPINAS0RR001;
RTRR-Belo 12-01;REFLECTOR;3;;MGBELOHORIZO0RR002;
RTRR-Rio d13-01;REFLECTOR;3;;RJRIODEJANEI0RR002;
RTRR-Sul114-01;REFLECTOR;3;;PRCURITIBA0RR001;
RTRR-Sul215-01;REFLECTOR;3;;SCJOINVILLE0RR001;
RTPR-PA01-01;PEERING;4;;PABELEM0PR001;
RTPR-PE01-01;PEERING;4;;PERECIFE0PR001;
RTPR-SE02-01;PEERING;4;;SEARACAJU0PR001;
RTPR-RN03-01;PEERING;4;;RNNATAL0PR001;
RTPR-MT01-01;PEERING;4;;MTCUIABA0PR001;
RTPR-SP01-01;PEERING;4;;SPCAMPINAS0PR001;
RTPR-SP02-01;PEERING;4;;SPSAOPAULO0PR001;
RTPR-ES03-01;PEERING;4;;ESVITORIA0PR001;
RTPR-SP04-01;PEERING;4;;SPCAMPINAS0PR002;
RTPR-RS01-01;PEERING;4;;RSPORTOALEGR0PR001;
RTED-RO01-01;EDGE;5;;ROARIQUEMES0ED001;
RTED-RO01-02;EDGE;5;;ROPORTOVELHO0ED001;
RTED-AM02-01;EDGE;5;;AMITACOATIAR0ED001;
RTED-AM02-02;EDGE;5;;AMMANAUS0ED001;
RTED-PI01-01;EDGE;5;;PITERESINA0ED001;
RTED-PI01-02;EDGE;5;;PITERESINA0ED002;
RTED-PI02-01;EDGE;5;;PITERESINA0ED003;
RTED-PI02-02;EDGE;5;;PITERESINA0ED004;
RTED-PE03-01;EDGE;5;;PEJABOATAODO0ED001;
RTED-PE03-02;EDGE;5;;PERECIFE0ED001;
RTED-RN04-01;EDGE;5;;RNNATAL0ED001;
RTED-RN04-02;EDGE;5;;RNNATAL0ED002;
RTED-AL05-01;EDGE;5;;ALMACEIO0ED001;
RTED-AL05-02;EDGE;5;;ALMACEIO0ED002;
RTED-MT01-01;EDGE;5;;MTVARZEAGRAN0ED001;
RTED-MT01-02;EDGE;5;;MTCUIABA0ED001;
RTED-MS02-01;EDGE;5;;MSDOURADOS0ED001;
RTED-MS02-02;EDGE;5;;MSCAMPOGRAND0ED001;
RTED-SP01-01;EDGE;5;;SPCAMPINAS0ED001;
RTED-SP01-02;EDGE;5;;SPCAMPINAS0ED002;
RTED-SP02-01;EDGE;5;;SPCAMPINAS0ED003;
RTED-SP02-02;EDGE;5;;SPCAMPINAS0ED004;
RTED-RJ03-01;EDGE;5;;RJDUQUEDECAX0ED001;
RTED-RJ03-02;EDGE;5;;RJRIODEJANEI0ED001;
RTED-SP04-01;EDGE;5;;SPSAOPAULO0ED001;
RTED-SP04-02;EDGE;5;;SPSAOPAULO0ED002;
RTED-ES05-01;EDGE;5;;ESCARIACICA0ED001;
RTED-ES05-02;EDGE;5;;ESVITORIA0ED001;
