siteid;Location;GeographicRegion;Latitude;Longitude
PTTARACAJU;Aracaju;Nordeste;10.56.51.66S;37.4.22.75W
PTTBELEM;Belem;Norte;1.27.21.34S;48.29.26.13W
PTTBELOHORIZO;Belo Horizonte;Sudeste;19.54.58.80S;43.56.2.91W
PTTBRASILIA;Brasilia;Centro-Oeste;15.47.50.41S;47.53.30.76W
PTTCAMPINAS;Campinas;Sudeste;22.54.20.03S;47.3.40.75W
PTTCAMPOGRAND;Campo Grande;Centro-Oeste;20.28.10.60S;54.37.13.99W
PTTCUIABA;Cuiaba;Centro-Oeste;15.36.6.69S;56.5.53.26W
PTTCURITIBA;Curitiba;Sul;25.25.43.71S;49.16.1.67W
PTTFLORIANOPO;Florianopolis;Sul;27.35.41.72S;48.32.51.90W
PTTFORTALEZA;Fortaleza;Nordeste;3.43.54.33S;38.31.37.06W
PTTGOIANIA;Goiania;Centro-Oeste;16.40.51.50S;49.15.10.72W
PTTJOAOPESSOA;Joao Pessoa;Nordeste;7.7.10.24S;34.50.43.64W
PTTMACEIO;Maceio;Nordeste;9.38.56.68S;35.42.32.67W
PTTMANAUS;Manaus;Norte;3.7.7.19S;60.1.18.79W
PTTNATAL;Natal;Nordeste;5.46.44.69S;35.12.4.70W
PTTPORTOALEGR;Porto Alegre;Sul;30.2.5.15S;51.13.2.16W
PTTRECIFE;Recife;Nordeste;8.3.29.34S;34.52.57.57W
PTTRIODEJANEI;Rio de Janeiro;Sudeste;22.54.38.12S;43.12.32.16W
PTTSALVADOR;Salvador;Nordeste;12.58.19.55S;38.30.5.01W
PTTSAOLUIS;Sao Luis;Nordeste;2.31.50.48S;44.18.26.18W
PTTSAOPAULO;Sao Paulo;Sudeste;23.32.1.35S;46.37.30.60W
PTTTERESINA;Teresina;Nordeste;5.5.32.99S;42.48.13.41W
PTTVITORIA;Vitoria;Sudeste;20.19.8.92S;40.20.15.01W
AMMANAUS0IC001;Manaus;Norte;3.6.0.85S;60.0.0.10W
PABELEM0IC001;Belem;Norte;1.27.35.65S;48.29.59.06W
CEFORTALEZA0IC001;Fortaleza;Nordeste;3.43.12.99S;38.32.22.71W
PERECIFE0IC001;Recife;Nordeste;8.2.59.79S;34.53.58.26W
BASALVADOR0IC001;Salvador;Nordeste;12.58.12.84S;38.30.0.22W
